timestamp,country,cases,deaths
2020-05-22,MS Zaandam nan,9.0,2.0
2020-05-23,Diamond Princess nan,712.0,13.0
2020-05-23,MS Zaandam nan,9.0,2.0
2020-05-24,Diamond Princess nan,712.0,13.0
2020-05-24,MS Zaandam nan,9.0,2.0
2020-05-25,Diamond Princess nan,712.0,13.0
2020-05-25,MS Zaandam nan,9.0,2.0
2020-05-26,Diamond Princess nan,712.0,13.0
2020-05-26,MS Zaandam nan,9.0,2.0
2020-05-27,Diamond Princess nan,712.0,13.0
2020-05-27,MS Zaandam nan,9.0,2.0
2020-05-28,Diamond Princess nan,712.0,13.0
2020-05-28,MS Zaandam nan,9.0,2.0
2020-05-29,Diamond Princess nan,712.0,13.0
2020-05-29,MS Zaandam nan,9.0,2.0
2020-05-30,Diamond Princess nan,712.0,13.0
2020-05-30,MS Zaandam nan,9.0,2.0
2020-05-31,Diamond Princess nan,712.0,13.0
2020-05-31,MS Zaandam nan,9.0,2.0
2020-06-01,Diamond Princess nan,712.0,13.0
2020-06-01,MS Zaandam nan,9.0,2.0
2020-06-02,Diamond Princess nan,712.0,13.0
2020-06-02,MS Zaandam nan,9.0,2.0
2020-06-03,Diamond Princess nan,712.0,13.0
2020-06-03,MS Zaandam nan,9.0,2.0
2020-06-04,Diamond Princess nan,712.0,13.0
2020-06-04,MS Zaandam nan,9.0,2.0
2020-06-05,Diamond Princess nan,712.0,13.0
2020-06-05,MS Zaandam nan,9.0,2.0
2020-06-06,Diamond Princess nan,712.0,13.0
2020-06-06,MS Zaandam nan,9.0,2.0
2020-06-07,Diamond Princess nan,712.0,13.0
2020-06-07,MS Zaandam nan,9.0,2.0
2020-06-08,Diamond Princess nan,712.0,13.0
2020-06-08,MS Zaandam nan,9.0,2.0
2020-06-09,Diamond Princess nan,712.0,13.0
2020-06-09,MS Zaandam nan,9.0,2.0
2020-06-10,Diamond Princess nan,712.0,13.0
2020-06-10,MS Zaandam nan,9.0,2.0
2020-06-11,Diamond Princess nan,712.0,13.0
2020-06-11,MS Zaandam nan,9.0,2.0
2020-06-12,Diamond Princess nan,712.0,13.0
2020-06-12,MS Zaandam nan,9.0,2.0
2020-06-13,Diamond Princess nan,712.0,13.0
2020-06-13,MS Zaandam nan,9.0,2.0
2020-06-14,Diamond Princess nan,712.0,13.0
2020-06-14,MS Zaandam nan,9.0,2.0
2020-06-15,Diamond Princess nan,712.0,13.0
2020-06-15,MS Zaandam nan,9.0,2.0
2020-06-16,Diamond Princess nan,712.0,13.0
2020-06-16,MS Zaandam nan,9.0,2.0
2020-06-17,Diamond Princess nan,712.0,13.0
2020-06-17,MS Zaandam nan,9.0,2.0
2020-06-18,Diamond Princess nan,712.0,13.0
2020-06-18,MS Zaandam nan,9.0,2.0
2020-06-19,Diamond Princess nan,712.0,13.0
2020-06-19,MS Zaandam nan,9.0,2.0
2020-06-20,Diamond Princess nan,712.0,13.0
2020-06-20,MS Zaandam nan,9.0,2.0
2020-06-21,Diamond Princess nan,712.0,13.0
2020-06-21,MS Zaandam nan,9.0,2.0
2020-06-22,Diamond Princess nan,712.0,13.0
2020-06-22,MS Zaandam nan,9.0,2.0
2020-06-23,Diamond Princess nan,712.0,13.0
2020-06-23,MS Zaandam nan,9.0,2.0
2020-06-24,Diamond Princess nan,712.0,13.0
2020-06-24,MS Zaandam nan,9.0,2.0
2020-06-25,Diamond Princess nan,712.0,13.0
2020-06-25,MS Zaandam nan,9.0,2.0
2020-06-26,Diamond Princess nan,712.0,13.0
2020-06-26,MS Zaandam nan,9.0,2.0
2020-06-27,Diamond Princess nan,712.0,13.0
2020-06-27,MS Zaandam nan,9.0,2.0
2020-06-28,Diamond Princess nan,712.0,13.0
2020-06-28,MS Zaandam nan,9.0,2.0
2020-06-29,Diamond Princess nan,712.0,13.0
2020-06-29,MS Zaandam nan,9.0,2.0
2020-06-30,Diamond Princess nan,712.0,13.0
2020-06-30,MS Zaandam nan,9.0,2.0
2020-07-01,Diamond Princess nan,712.0,13.0
2020-07-01,MS Zaandam nan,9.0,2.0
2020-07-02,Diamond Princess nan,712.0,13.0
2020-07-02,MS Zaandam nan,9.0,2.0
2020-07-03,Diamond Princess nan,712.0,13.0
2020-07-03,MS Zaandam nan,9.0,2.0
2020-07-04,Diamond Princess nan,712.0,13.0
2020-07-04,MS Zaandam nan,9.0,2.0
2020-07-05,Diamond Princess nan,712.0,13.0
2020-07-05,MS Zaandam nan,9.0,2.0
2020-07-06,Diamond Princess nan,712.0,13.0
2020-07-06,MS Zaandam nan,9.0,2.0
2020-07-07,Diamond Princess nan,712.0,13.0
2020-07-07,MS Zaandam nan,9.0,2.0
2020-07-08,Diamond Princess nan,712.0,13.0
2020-07-08,MS Zaandam nan,9.0,2.0
2020-07-09,Diamond Princess nan,712.0,13.0
2020-07-09,MS Zaandam nan,9.0,2.0
2020-07-10,Diamond Princess nan,712.0,13.0
2020-07-10,MS Zaandam nan,9.0,2.0
2020-07-11,Diamond Princess nan,712.0,13.0
2020-07-11,MS Zaandam nan,9.0,2.0
2020-07-12,Diamond Princess nan,712.0,13.0
2020-07-12,MS Zaandam nan,9.0,2.0
2020-07-13,Diamond Princess nan,712.0,13.0
2020-07-13,MS Zaandam nan,9.0,2.0
2020-07-14,Diamond Princess nan,712.0,13.0
2020-07-14,MS Zaandam nan,9.0,2.0
2020-07-15,Diamond Princess nan,712.0,13.0
2020-07-15,MS Zaandam nan,9.0,2.0
2020-07-16,Diamond Princess nan,712.0,13.0
2020-07-16,MS Zaandam nan,9.0,2.0
2020-07-17,Diamond Princess nan,712.0,13.0
2020-07-17,MS Zaandam nan,9.0,2.0
2020-07-18,Diamond Princess nan,712.0,13.0
2020-07-18,MS Zaandam nan,9.0,2.0
2020-07-19,Diamond Princess nan,712.0,13.0
2020-07-19,MS Zaandam nan,9.0,2.0
2020-07-20,Diamond Princess nan,712.0,13.0
2020-07-20,MS Zaandam nan,9.0,2.0
2020-07-21,Diamond Princess nan,712.0,13.0
2020-07-21,MS Zaandam nan,9.0,2.0
2020-07-22,Diamond Princess nan,712.0,13.0
2020-07-22,MS Zaandam nan,9.0,2.0
2020-07-23,Diamond Princess nan,712.0,13.0
2020-07-23,MS Zaandam nan,9.0,2.0
2020-07-24,Diamond Princess nan,712.0,13.0
2020-07-24,MS Zaandam nan,9.0,2.0
2020-07-25,Diamond Princess nan,712.0,13.0
2020-07-25,MS Zaandam nan,9.0,2.0
2020-07-26,Diamond Princess nan,712.0,13.0
2020-07-26,MS Zaandam nan,9.0,2.0
2020-07-27,Diamond Princess nan,712.0,13.0
2020-07-27,MS Zaandam nan,9.0,2.0
2020-07-28,Diamond Princess nan,712.0,13.0
2020-07-28,MS Zaandam nan,9.0,2.0
2020-07-29,Diamond Princess nan,712.0,13.0
2020-07-29,MS Zaandam nan,9.0,2.0
2020-07-30,Diamond Princess nan,712.0,13.0
2020-07-30,MS Zaandam nan,9.0,2.0
2020-07-31,Diamond Princess nan,712.0,13.0
2020-07-31,MS Zaandam nan,9.0,2.0
2020-08-01,Diamond Princess nan,712.0,13.0
2020-08-01,MS Zaandam nan,9.0,2.0
2020-08-02,Diamond Princess nan,712.0,13.0
2020-08-02,MS Zaandam nan,9.0,2.0
2020-08-03,Diamond Princess nan,712.0,13.0
2020-08-03,MS Zaandam nan,9.0,2.0
2020-08-04,Diamond Princess nan,712.0,13.0
2020-08-04,MS Zaandam nan,9.0,2.0
2020-08-05,Diamond Princess nan,712.0,13.0
2020-08-05,MS Zaandam nan,9.0,2.0
2020-08-06,Diamond Princess nan,712.0,13.0
2020-08-06,MS Zaandam nan,9.0,2.0
2020-08-07,Diamond Princess nan,712.0,13.0
2020-08-07,MS Zaandam nan,9.0,2.0
2020-08-08,Diamond Princess nan,712.0,13.0
2020-08-08,MS Zaandam nan,9.0,2.0
2020-08-09,Diamond Princess nan,712.0,13.0
2020-08-09,MS Zaandam nan,9.0,2.0
2020-08-10,Diamond Princess nan,712.0,13.0
2020-08-10,MS Zaandam nan,9.0,2.0
2020-08-11,Diamond Princess nan,712.0,13.0
2020-08-11,MS Zaandam nan,9.0,2.0
2020-08-12,Diamond Princess nan,712.0,13.0
2020-08-12,MS Zaandam nan,9.0,2.0
2020-08-13,Diamond Princess nan,712.0,13.0
2020-08-13,MS Zaandam nan,9.0,2.0
2020-08-14,Diamond Princess nan,712.0,13.0
2020-08-14,MS Zaandam nan,9.0,2.0
2020-08-15,Diamond Princess nan,712.0,13.0
2020-08-15,MS Zaandam nan,9.0,2.0
2020-08-16,Diamond Princess nan,712.0,13.0
2020-08-16,MS Zaandam nan,9.0,2.0
2020-08-17,Diamond Princess nan,712.0,13.0
2020-08-17,MS Zaandam nan,9.0,2.0
2020-08-18,Diamond Princess nan,712.0,13.0
2020-08-18,MS Zaandam nan,9.0,2.0
2020-08-19,Diamond Princess nan,712.0,13.0
2020-08-19,MS Zaandam nan,9.0,2.0
2020-08-20,Diamond Princess nan,712.0,13.0
2020-08-20,MS Zaandam nan,9.0,2.0
2020-08-21,Diamond Princess nan,712.0,13.0
2020-08-21,MS Zaandam nan,9.0,2.0
2020-08-22,Diamond Princess nan,712.0,13.0
2020-08-22,MS Zaandam nan,9.0,2.0
2020-08-23,Diamond Princess nan,712.0,13.0
2020-08-23,MS Zaandam nan,9.0,2.0
2020-08-24,Diamond Princess nan,712.0,13.0
2020-08-24,MS Zaandam nan,9.0,2.0
2020-08-25,Diamond Princess nan,712.0,13.0
2020-08-25,MS Zaandam nan,9.0,2.0
2020-08-26,Diamond Princess nan,712.0,13.0
2020-08-26,MS Zaandam nan,9.0,2.0
2020-08-27,Diamond Princess nan,712.0,13.0
2020-08-27,MS Zaandam nan,9.0,2.0
2020-08-28,Diamond Princess nan,712.0,13.0
2020-08-28,MS Zaandam nan,9.0,2.0
2020-08-29,Diamond Princess nan,712.0,13.0
2020-08-29,MS Zaandam nan,9.0,2.0
2020-08-30,Diamond Princess nan,712.0,13.0
2020-08-30,MS Zaandam nan,9.0,2.0
2020-08-31,Diamond Princess nan,712.0,13.0
2020-08-31,MS Zaandam nan,9.0,2.0
2020-09-01,Diamond Princess nan,712.0,13.0
2020-09-01,MS Zaandam nan,9.0,2.0
2020-09-02,Diamond Princess nan,712.0,13.0
2020-09-02,MS Zaandam nan,9.0,2.0
