YearWeekISO,ReportingCountry,TargetGroup,TotalDosesSum,new_cases
2021-10,DK,15-24yr,2008203,874
2021-10,EE,15-24yr,353455,1202
2021-10,EL,15-24yr,3882667,1730
2021-10,FI,15-24yr,1279576,913
2021-10,HR,15-24yr,695788,691
2021-10,HU,15-24yr,3532389,4398
2021-10,IE,15-24yr,1642539,748
2021-10,IS,15-24yr,105523,3
2021-10,IT,15-24yr,15020658,18324
2021-10,LT,15-24yr,641188,265
2021-10,LU,15-24yr,118925,118
2021-10,LV,15-24yr,179310,271
2021-10,MT,15-24yr,229739,307
2021-10,NO,15-24yr,1218038,1187
2021-10,PL,15-24yr,9207511,1270
2021-10,PT,15-24yr,2284657,597
2021-10,SE,15-24yr,2402478,4638
2021-10,SI,15-24yr,517542,564
2021-11,AT,15-24yr,3766504,3255
2021-11,BE,15-24yr,5253533,4306
2021-11,CZ,15-24yr,4263363,6573
2021-11,DK,15-24yr,2243707,1051
2021-11,EE,15-24yr,438545,1175
2021-11,EL,15-24yr,4385990,1749
2021-11,FI,15-24yr,1527879,808
2021-11,HR,15-24yr,824459,1002
2021-11,HU,15-24yr,4301776,4675
2021-11,IE,15-24yr,1831240,518
2021-11,IS,15-24yr,116378,5
2021-11,IT,15-24yr,17628982,16864
2021-11,LT,15-24yr,724269,275
2021-11,LU,15-24yr,146830,150
2021-11,LV,15-24yr,199648,351
2021-11,MT,15-24yr,264904,213
2021-11,NO,15-24yr,1373771,1300
2021-11,PL,15-24yr,10243581,1161
2021-11,PT,15-24yr,2609236,461
2021-11,SE,15-24yr,2789267,5160
2021-11,SI,15-24yr,599782,676
2021-12,AT,15-24yr,4467894,3472
2021-12,BE,15-24yr,6191358,5091
2021-12,CZ,15-24yr,5005837,5083
2021-12,DK,15-24yr,2468867,973
2021-12,EE,15-24yr,511372,955
2021-12,EL,15-24yr,4879608,2095
2021-12,FI,15-24yr,1761699,675
2021-12,HR,15-24yr,951000,5856
2021-12,HU,15-24yr,5175421,5451
2021-12,IE,15-24yr,2031060,586
2021-12,IS,15-24yr,135557,2
2021-12,IT,15-24yr,20427524,9436
2021-12,LT,15-24yr,826776,415
2021-12,LU,15-24yr,176139,160
2021-12,LV,15-24yr,229108,300
2021-12,MT,15-24yr,307701,81
2021-12,NO,15-24yr,1552692,1241
2021-12,PL,15-24yr,11583898,917
2021-12,PT,15-24yr,3096065,411
2021-12,SE,15-24yr,3154444,5904
2021-12,SI,15-24yr,684554,779
2021-13,AT,15-24yr,5129325,3242
2021-13,BE,15-24yr,7208129,4678
2021-13,CZ,15-24yr,5733649,3679
2021-13,DK,15-24yr,2708126,873
2021-13,EL,15-24yr,5505692,2702
2021-13,FI,15-24yr,2000941,557
2021-13,HR,15-24yr,1073797,1606
2021-13,HU,15-24yr,6389727,4367
2021-13,IE,15-24yr,2310370,534
2021-13,IS,15-24yr,157099,6
2021-13,LT,15-24yr,993809,490
2021-13,LU,15-24yr,208011,156
2021-13,LV,15-24yr,272944,288
2021-13,MT,15-24yr,360760,57
2021-13,NO,15-24yr,1768047,1007
2021-13,PL,15-24yr,13191482,475
2021-13,PT,15-24yr,3610188,360
2021-13,SE,15-24yr,3575604,5888
2021-13,SI,15-24yr,796668,995
2020-52,CZ,25-49yr,3229,20398
2020-52,EE,25-49yr,3,1560
2020-52,EL,25-49yr,551,1683
2020-52,FI,25-49yr,40,709
2020-52,HR,25-49yr,0,4719
2020-52,HU,25-49yr,1764,4651
2020-52,IT,25-49yr,10362,31907
2020-52,LT,25-49yr,3754,7636
2020-52,LU,25-49yr,0,328
2020-52,MT,25-49yr,94,253
2020-52,PL,25-49yr,3374,7230
2020-52,PT,25-49yr,8294,7690
2020-52,SE,25-49yr,2088,17267
2020-52,SI,25-49yr,6543,4046
2020-53,AT,25-49yr,11401,5735
2020-53,BE,25-49yr,1703,3951
2020-53,CZ,25-49yr,38040,31277
2020-53,DK,25-49yr,62472,5281
2020-53,EE,25-49yr,32,1572
2020-53,EL,25-49yr,10263,1854
2020-53,FI,25-49yr,9298,739
2020-53,HR,25-49yr,15379,4607
2020-53,HU,25-49yr,20073,5019
2020-53,IE,25-49yr,3617,8927
2020-53,IS,25-49yr,6172,41
2020-53,IT,25-49yr,188949,40484
2020-53,LT,25-49yr,15654,6388
2020-53,LU,25-49yr,1753,356
2020-53,LV,25-49yr,2559,2520
2020-53,MT,25-49yr,2793,450
2020-53,PL,25-49yr,80447,16706
2020-53,PT,25-49yr,59142,13487
2020-53,SE,25-49yr,19143,19377
2020-53,SI,25-49yr,21319,4830
2021-01,AT,25-49yr,77371,5481
2021-01,BE,25-49yr,60514,5756
2021-01,CZ,25-49yr,145891,37177
2021-01,DK,25-49yr,178794,3966
2021-01,EE,25-49yr,326,1686
2021-01,EL,25-49yr,117547,1904
2021-01,FI,25-49yr,35354,865
2021-01,HR,25-49yr,53098,4559
2021-01,HU,25-49yr,123726,6135
2021-01,IE,25-49yr,87218,19120
2021-01,IT,25-49yr,918909,42035
2021-01,LT,25-49yr,38795,4942
2021-01,LU,25-49yr,3459,296
2021-01,LV,25-49yr,9824,2877
2021-01,MT,25-49yr,9562,588
2021-01,PL,25-49yr,382194,7414
2021-01,PT,25-49yr,137928,22116
2021-01,SE,25-49yr,77141,18009
2021-01,SI,25-49yr,54284,6446
2021-02,AT,25-49yr,282373,4146
2021-02,BE,25-49yr,320844,5559
2021-02,CZ,25-49yr,369688,22121
2021-02,DK,25-49yr,294923,2588
2021-02,EE,25-49yr,2519,1347
2021-02,EL,25-49yr,266003,1489
2021-02,FI,25-49yr,98988,794
2021-02,HR,25-49yr,98078,5172
2021-02,HU,25-49yr,290088,3460
2021-02,IE,25-49yr,224903,9400
2021-02,IS,25-49yr,17000,37
2021-02,IT,25-49yr,2213934,31033
2021-02,LT,25-49yr,85036,2953
2021-02,LU,25-49yr,6977,258
2021-02,LV,25-49yr,24366,2495
2021-02,MT,25-49yr,22487,562
2021-02,PL,25-49yr,975069,15000
2021-02,PT,25-49yr,224049,25108
2021-02,SE,25-49yr,220358,12791
2021-02,SI,25-49yr,96057,4461
2021-03,AT,25-49yr,564735,4032
2021-03,BE,25-49yr,788376,5729
2021-03,CZ,25-49yr,659681,19245
2021-03,DK,25-49yr,384816,2003
2021-03,EE,25-49yr,14819,1304
2021-03,EL,25-49yr,486617,1383
2021-03,FI,25-49yr,196846,1030
2021-03,HR,25-49yr,147509,4421
2021-03,HU,25-49yr,417870,3026
2021-03,IE,25-49yr,365475,6127
2021-03,IS,25-49yr,29365,10
2021-03,IT,25-49yr,3317977,27979
2021-03,LT,25-49yr,124689,2510
2021-03,LU,25-49yr,15206,242
2021-03,LV,25-49yr,35520,2147
2021-03,MT,25-49yr,42204,537
2021-03,NO,25-49yr,88107,1010
2021-03,PL,25-49yr,1554901,11874
2021-03,PT,25-49yr,471004,32548
2021-03,SE,25-49yr,445824,10438
2021-03,SI,25-49yr,133713,4012
2021-04,AT,25-49yr,738583,3678
2021-04,BE,25-49yr,1197172,6067
2021-04,CZ,25-49yr,937601,19477
2021-04,DK,25-49yr,545583,1196
2021-04,EE,25-49yr,45017,1390
2021-04,EL,25-49yr,818626,2274
2021-04,FI,25-49yr,305214,1110
2021-04,HR,25-49yr,193306,4009
2021-04,HU,25-49yr,668203,3348
2021-04,IE,25-49yr,526108,3545
2021-04,IS,25-49yr,43497,11
2021-04,IT,25-49yr,4480925,27873
2021-04,LT,25-49yr,171149,2154
2021-04,LU,25-49yr,24772,273
2021-04,LV,25-49yr,43458,2121
2021-04,MT,25-49yr,62987,547
2021-04,NO,25-49yr,158544,889
2021-04,PL,25-49yr,2379269,11828
2021-04,PT,25-49yr,685857,30523
2021-04,SE,25-49yr,651672,9462
2021-04,SI,25-49yr,175735,3987
2021-05,AT,25-49yr,991821,3663
2021-05,BE,25-49yr,1649653,5608
2021-05,CZ,25-49yr,1223014,20736
2021-05,DK,25-49yr,686796,1182
2021-05,EE,25-49yr,80031,1406
2021-05,EL,25-49yr,1224879,3081
2021-05,FI,25-49yr,416287,1135
2021-05,HR,25-49yr,233441,3521
2021-05,HU,25-49yr,1006794,3712
2021-05,IE,25-49yr,675089,2753
2021-05,IS,25-49yr,46370,7
2021-05,IT,25-49yr,6155814,28258
2021-05,LT,25-49yr,226552,1543
2021-05,LU,25-49yr,36403,313
2021-05,LV,25-49yr,57336,2265
2021-05,MT,25-49yr,89423,327
2021-05,NO,25-49yr,305587,792
2021-05,PL,25-49yr,3485341,9927
2021-05,PT,25-49yr,808292,14719
2021-05,SE,25-49yr,859918,9011
2021-05,SI,25-49yr,218950,3330
2021-06,AT,25-49yr,1322463,3744
2021-06,BE,25-49yr,2228652,4814
2021-06,CZ,25-49yr,1553346,22593
2021-06,DK,25-49yr,991538,1027
2021-06,EE,25-49yr,112968,1783
2021-06,EL,25-49yr,1636799,3486
2021-06,FI,25-49yr,516987,1084
2021-06,HR,25-49yr,286211,3476
2021-06,HU,25-49yr,1229374,4841
2021-06,IE,25-49yr,796900,2350
2021-06,IS,25-49yr,51930,11
2021-06,IT,25-49yr,7619609,28397
2021-06,LT,25-49yr,284565,1292
2021-06,LU,25-49yr,49752,308
2021-06,LV,25-49yr,70962,2015
2021-06,MT,25-49yr,115554,522
2021-06,NO,25-49yr,475548,790
2021-06,PL,25-49yr,4524390,9801
2021-06,PT,25-49yr,1029784,6717
2021-06,SE,25-49yr,1099612,9871
2021-06,SI,25-49yr,265025,2782
2021-07,AT,25-49yr,1626672,4648
2021-07,BE,25-49yr,2745787,6126
2021-07,CZ,25-49yr,1891272,27924
2021-07,DK,25-49yr,1191190,1359
2021-07,EE,25-49yr,151401,2357
2021-07,EL,25-49yr,2128234,3354
2021-07,FI,25-49yr,653004,1570
2021-07,HR,25-49yr,359463,2665
2021-07,HU,25-49yr,1544966,7610
2021-07,IE,25-49yr,956045,2027
2021-07,IS,25-49yr,65210,7
2021-07,IT,25-49yr,8871448,31607
2021-07,LT,25-49yr,347810,1269
2021-07,LU,25-49yr,65501,370
2021-07,LV,25-49yr,85405,1990
2021-07,MT,25-49yr,141183,529
2021-07,NO,25-49yr,632027,892
2021-07,PL,25-49yr,5658445,9818
2021-07,PT,25-49yr,1313313,3836
2021-07,SE,25-49yr,1401489,10887
2021-07,SI,25-49yr,313803,2355
2021-08,AT,25-49yr,1986700,5675
2021-08,BE,25-49yr,3231583,6596
2021-08,CZ,25-49yr,2241934,35324
2021-08,DK,25-49yr,1453386,1580
2021-08,EE,25-49yr,205536,3693
2021-08,EL,25-49yr,2689452,4911
2021-08,FI,25-49yr,836815,1751
2021-08,HR,25-49yr,463145,1760
2021-08,HU,25-49yr,2080149,12830
2021-08,IE,25-49yr,1214195,1773
2021-08,IS,25-49yr,80105,4
2021-08,IT,25-49yr,10399166,42640
2021-08,LT,25-49yr,424927,1394
2021-08,LU,25-49yr,81203,363
2021-08,LV,25-49yr,110435,1963
2021-08,MT,25-49yr,177442,710
2021-08,NO,25-49yr,835880,1332
2021-08,PL,25-49yr,6891061,7428
2021-08,PT,25-49yr,1631875,2546
2021-08,SE,25-49yr,1703441,12198
2021-08,SI,25-49yr,369195,2323
2021-09,AT,25-49yr,2431146,6483
2021-09,BE,25-49yr,3835837,6397
2021-09,CZ,25-49yr,2767373,36185
2021-09,DK,25-49yr,1757668,1584
2021-09,EE,25-49yr,275575,4119
2021-09,EL,25-49yr,3297420,5876
2021-09,FI,25-49yr,1050548,1920
2021-09,HR,25-49yr,581259,2342
2021-09,HU,25-49yr,2741317,16934
2021-09,IE,25-49yr,1453937,1320
2021-09,IS,25-49yr,94302,9
2021-09,IT,25-49yr,12627189,49775
2021-09,LT,25-49yr,531636,1149
2021-09,LU,25-49yr,97775,331
2021-09,LV,25-49yr,145745,1790
2021-09,MT,25-49yr,206450,819
2021-09,NO,25-49yr,1045686,1695
2021-09,PL,25-49yr,8153275,4577
2021-09,PT,25-49yr,1991935,2148
2021-09,SE,25-49yr,2047862,12685
2021-09,SI,25-49yr,433860,2271
2021-10,AT,25-49yr,3126679,7278
2021-10,BE,25-49yr,4538822,8381
2021-10,CZ,25-49yr,3500345,32346
2021-10,DK,25-49yr,2024323,1756
2021-10,EE,25-49yr,361270,4281
2021-10,EL,25-49yr,3897847,6955
2021-10,FI,25-49yr,1288584,2183
2021-10,HR,25-49yr,701528,2335
2021-10,HU,25-49yr,3596468,26913
2021-10,IE,25-49yr,1664012,1430
2021-10,IS,25-49yr,106158,10
2021-10,IT,25-49yr,15316994,54054
2021-10,LT,25-49yr,643552,1238
2021-10,LU,25-49yr,119562,346
2021-10,LV,25-49yr,179850,1455
2021-10,MT,25-49yr,233697,916
2021-10,NO,25-49yr,1235750,2243
2021-10,PL,25-49yr,9285168,9142
2021-10,PT,25-49yr,2304296,1752
2021-10,SE,25-49yr,2440549,13062
2021-10,SI,25-49yr,526480,2103
2021-11,AT,25-49yr,3809267,8425
2021-11,BE,25-49yr,5316282,11609
2021-11,CZ,25-49yr,4300164,26597
2021-11,DK,25-49yr,2255469,1943
2021-11,EE,25-49yr,445631,4259
2021-11,EL,25-49yr,4396986,6890
2021-11,FI,25-49yr,1536507,1976
2021-11,HR,25-49yr,830331,3798
2021-11,HU,25-49yr,4341004,26918
2021-11,IE,25-49yr,1834985,1530
2021-11,IS,25-49yr,116784,27
2021-11,IT,25-49yr,17774934,50863
2021-11,LT,25-49yr,725316,1417
2021-11,LU,25-49yr,147438,404
2021-11,LV,25-49yr,199970,1451
2021-11,MT,25-49yr,268655,698
2021-11,NO,25-49yr,1376189,2635
2021-11,PL,25-49yr,10285560,8442
2021-11,PT,25-49yr,2615743,1362
2021-11,SE,25-49yr,2801243,15111
2021-11,SI,25-49yr,601383,2494
2021-12,AT,25-49yr,4506893,8900
2021-12,BE,25-49yr,6237512,14278
2021-12,CZ,25-49yr,5041457,19795
2021-12,DK,25-49yr,2479774,1986
2021-12,EE,25-49yr,516037,3193
2021-12,EL,25-49yr,4891453,7351
2021-12,FI,25-49yr,1763725,1777
2021-12,HR,25-49yr,955981,20851
2021-12,HU,25-49yr,5229795,27907
2021-12,IE,25-49yr,2050109,1636
2021-12,IS,25-49yr,136458,29
2021-12,IT,25-49yr,20652421,28987
2021-12,LT,25-49yr,833302,2154
2021-12,LU,25-49yr,177113,449
2021-12,LV,25-49yr,230489,1529
2021-12,MT,25-49yr,310403,276
2021-12,NO,25-49yr,1566663,2434
2021-12,PL,25-49yr,11637925,6638
2021-12,PT,25-49yr,3145635,1209
2021-12,SE,25-49yr,3161998,17169
2021-12,SI,25-49yr,693321,2936
2021-13,AT,25-49yr,5150849,8639
2021-13,BE,25-49yr,7243043,13974
2021-13,CZ,25-49yr,5771797,14980
2021-13,DK,25-49yr,2717768,1715
2021-13,EL,25-49yr,5522500,8856
2021-13,FI,25-49yr,2005594,1287
2021-13,HR,25-49yr,1078807,6555
2021-13,HU,25-49yr,6533407,22097
2021-13,IE,25-49yr,2326258,1403
2021-13,IS,25-49yr,158004,29
2021-13,LT,25-49yr,1007312,2611
2021-13,LU,25-49yr,208861,448
2021-13,LV,25-49yr,274956,1302
2021-13,MT,25-49yr,363636,145
2021-13,NO,25-49yr,1777858,1940
2021-13,PL,25-49yr,13267309,3478
2021-13,PT,25-49yr,3615018,1292
2021-13,SE,25-49yr,3581053,17667
2021-13,SI,25-49yr,802150,3296
2020-52,CZ,80+yr,3746,1980
2020-52,EE,80+yr,6,242
2020-52,EL,80+yr,720,346
2020-52,FI,80+yr,48,51
2020-52,HR,80+yr,0,579
2020-52,HU,80+yr,2190,1036
2020-52,IT,80+yr,14298,8437
2020-52,LT,80+yr,4836,764
2020-52,LU,80+yr,0,73
2020-52,MT,80+yr,114,60
2020-52,PL,80+yr,4427,845
2020-52,SE,80+yr,3928,1487
2020-52,SI,80+yr,12064,756
2020-53,AT,80+yr,15020,1380
2020-53,BE,80+yr,2382,1299
2020-53,CZ,80+yr,43626,2953
2020-53,DK,80+yr,93522,845
2020-53,EE,80+yr,38,219
2020-53,EL,80+yr,11833,305
