year_week,country_code,age_group,new_cases
2020-25,HR,25-49yr,11
2020-26,HR,25-49yr,96
2020-27,HR,25-49yr,169
2020-28,HR,25-49yr,193
2020-29,HR,25-49yr,310
2020-30,HR,25-49yr,282
2020-31,HR,25-49yr,170
2020-32,HR,25-49yr,110
2020-33,HR,25-49yr,245
2020-34,HR,25-49yr,421
2020-35,HR,25-49yr,658
2020-36,HR,25-49yr,654
2020-37,HR,25-49yr,769
2020-38,HR,25-49yr,700
2020-39,HR,25-49yr,625
2020-40,HR,25-49yr,684
2020-41,HR,25-49yr,710
2020-42,HR,25-49yr,1184
2020-43,HR,25-49yr,1320
2020-44,HR,25-49yr,1830
2020-45,HR,25-49yr,2403
2020-46,HR,25-49yr,3028
2020-47,HR,25-49yr,3234
2020-48,HR,25-49yr,3197
2020-49,HR,25-49yr,4070
2020-50,HR,25-49yr,4275
2020-51,HR,25-49yr,5852
2020-52,HR,25-49yr,4719
2020-53,HR,25-49yr,4607
2021-01,HR,25-49yr,4559
2021-02,HR,25-49yr,5172
2021-03,HR,25-49yr,4421
2021-04,HR,25-49yr,4009
2021-05,HR,25-49yr,3521
2021-06,HR,25-49yr,3476
2021-07,HR,25-49yr,2665
2021-08,HR,25-49yr,1760
2021-09,HR,25-49yr,2342
2021-10,HR,25-49yr,2335
2021-11,HR,25-49yr,3798
2021-12,HR,25-49yr,20851
2021-13,HR,25-49yr,6555
2020-09,HR,80+yr,0
2020-10,HR,80+yr,0
2020-11,HR,80+yr,0
2020-12,HR,80+yr,4
2020-13,HR,80+yr,11
2020-14,HR,80+yr,16
2020-15,HR,80+yr,29
2020-16,HR,80+yr,81
2020-17,HR,80+yr,67
2020-18,HR,80+yr,4
2020-19,HR,80+yr,13
2020-20,HR,80+yr,5
2020-21,HR,80+yr,4
2020-22,HR,80+yr,3
2020-25,HR,80+yr,0
2020-26,HR,80+yr,6
2020-27,HR,80+yr,2
2020-28,HR,80+yr,18
2020-29,HR,80+yr,21
2020-30,HR,80+yr,55
2020-31,HR,80+yr,23
2020-32,HR,80+yr,19
2020-33,HR,80+yr,8
2020-34,HR,80+yr,14
2020-35,HR,80+yr,24
2020-36,HR,80+yr,32
2020-37,HR,80+yr,57
2020-38,HR,80+yr,42
2020-39,HR,80+yr,78
2020-40,HR,80+yr,69
2020-41,HR,80+yr,83
2020-42,HR,80+yr,113
2020-43,HR,80+yr,168
2020-44,HR,80+yr,214
2020-45,HR,80+yr,195
2020-46,HR,80+yr,297
2020-47,HR,80+yr,311
2020-48,HR,80+yr,264
2020-49,HR,80+yr,434
2020-50,HR,80+yr,392
2020-51,HR,80+yr,633
2020-52,HR,80+yr,579
2020-53,HR,80+yr,632
2021-01,HR,80+yr,659
2021-02,HR,80+yr,793
2021-03,HR,80+yr,524
2021-04,HR,80+yr,656
2021-05,HR,80+yr,706
2021-06,HR,80+yr,456
2021-07,HR,80+yr,350
2021-08,HR,80+yr,289
2021-09,HR,80+yr,263
2021-10,HR,80+yr,238
2021-11,HR,80+yr,349
2021-12,HR,80+yr,1908
2021-13,HR,80+yr,488
2020-11,CY,15-24yr,2
2020-12,CY,15-24yr,2
2020-13,CY,15-24yr,6
2020-14,CY,15-24yr,16
2020-15,CY,15-24yr,16
2020-16,CY,15-24yr,9
2020-17,CY,15-24yr,8
2020-18,CY,15-24yr,6
2020-19,CY,15-24yr,4
2020-20,CY,15-24yr,3
2020-21,CY,15-24yr,5
2020-22,CY,15-24yr,2
2020-23,CY,15-24yr,7
2020-24,CY,15-24yr,5
2020-25,CY,15-24yr,1
2020-26,CY,15-24yr,2
2020-27,CY,15-24yr,5
2020-28,CY,15-24yr,3
2020-29,CY,15-24yr,4
2020-30,CY,15-24yr,4
2020-31,CY,15-24yr,20
2020-32,CY,15-24yr,21
2020-33,CY,15-24yr,32
2020-34,CY,15-24yr,22
2020-35,CY,15-24yr,15
2020-36,CY,15-24yr,7
2020-37,CY,15-24yr,7
2020-38,CY,15-24yr,17
2020-39,CY,15-24yr,24
2020-40,CY,15-24yr,24
2020-41,CY,15-24yr,45
2020-42,CY,15-24yr,135
2020-43,CY,15-24yr,140
2020-44,CY,15-24yr,196
2020-45,CY,15-24yr,263
2020-46,CY,15-24yr,183
2020-47,CY,15-24yr,217
2020-48,CY,15-24yr,195
2020-49,CY,15-24yr,231
2020-50,CY,15-24yr,209
2020-51,CY,15-24yr,295
2020-52,CY,15-24yr,193
2020-53,CY,15-24yr,659
2021-01,CY,15-24yr,460
